article_id,group_name,mention_instances,sentence_mentions,active_voice_mentions,passive_voice_mentions,quote_count,quoted_mentions,dehumanizing_count,criminalizing_count,collectivizing_count,erasure_of_civilian_status_count,incitement_displacement_count,incitement_destruction_count,discrediting_journalists_count,censorship_repression_count,victimizing_count,humanizing_count,active_voice_rate,passive_voice_rate,quoted_context_rate,dehumanization_score
2023_10_16_grenzen-der-verteidigung,israelis,8,7,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0.875,0.125,0.25,0.5
2023_10_16_grenzen-der-verteidigung,palestinians,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0
2023_10_16_harte-kritik-an-von-der-leyen,israelis,14,14,9,2,0,4,0,0,1,0,0,0,0,0,0,0,0.6429,0.1429,0.2857,3.0
2023_10_16_harte-kritik-an-von-der-leyen,palestinians,5,5,5,0,0,1,0,0,2,0,0,0,0,0,0,0,1.0,0.0,0.2,4.0
2023_10_16_israel-bereitet-sich-auf-einmarsch-vor,israelis,9,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8889,0.0,0.1111,0.0
2023_10_16_israel-bereitet-sich-auf-einmarsch-vor,palestinians,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_16_israel-verst-rkt-druck-auf-nord-gaza,israelis,17,16,10,2,4,2,0,0,0,0,0,0,0,0,0,0,0.5882,0.1176,0.1176,1.0
2023_10_16_israel-verst-rkt-druck-auf-nord-gaza,palestinians,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.0,0.0,-2.0
2023_10_16_jederzeit-und-berall-kann-es-zu-anschl-gen-kommen,israelis,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0.0,-2.0
2023_10_16_jederzeit-und-berall-kann-es-zu-anschl-gen-kommen,palestinians,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0
2023_10_16_mein-gott-das-k-nnten-wir-alle-sein,general_journalists,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2023_10_16_mein-gott-das-k-nnten-wir-alle-sein,israelis,17,16,10,1,4,2,0,0,0,0,0,0,0,0,0,0,0.5882,0.0588,0.1176,0.5
2023_10_16_mein-gott-das-k-nnten-wir-alle-sein,palestinians,7,7,3,0,4,2,0,0,2,0,0,0,0,0,0,2,0.4286,0.0,0.2857,2.0
2023_10_16_mohammed-deif,israelis,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857,0.0,0.0,0.0
2023_10_16_mohammed-deif,palestinians,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2023_10_16_nachrichten-am-16-oktober-2023,general_journalists,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_16_nachrichten-am-16-oktober-2023,israelis,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.0,0.0,0.0
2023_10_16_warum-die-bbc-nicht-von-terroristen-sprechen-will,general_journalists,4,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0.75,0.0,0.5,0.0
2023_10_16_warum-die-bbc-nicht-von-terroristen-sprechen-will,israelis,4,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.25,0.0,0.75,0.0
2023_10_16_warum-die-bbc-nicht-von-terroristen-sprechen-will,palestinians,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0
2023_10_16_wir-wissen-nicht-ob-sie-lebt,general_journalists,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_16_wir-wissen-nicht-ob-sie-lebt,israelis,15,14,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5333,0.0,0.2,0.0
2023_10_16_wir-wissen-nicht-ob-sie-lebt,palestinians,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.25,0.0
2023_10_17_chinas-n-chste-doppelstrategie,israelis,6,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.1667,0.0,0.1667,0.5
2023_10_17_chinas-n-chste-doppelstrategie,palestinians,5,5,2,0,0,2,0,0,2,0,0,0,0,0,0,3,0.4,0.0,0.4,1.0
2023_10_17_der-fc-bayern-balanciert-ber-heikles-gel-nde,israelis,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5
